fid,Name,description,LC2024_1
108,# 209. Huge rock deposit,,3
109,# 210.   Stony Area,,3
110,# 211. Shrub Trees,,3
111,# 212. Bush burning 🔥,,3
112,# 213. Bareland,,3
113,# 214.  Bareland,,3
114,# 215.  Riparian Forest,Flowing stream with very low pressure,1
115,# 216.  Grassland,Introduced in the 1980s,3
116,# 217. Demolished Structure,Herders relocated due to security concerns by separatist fighters from North West Cameroon,3
117,# 218.  Riparian Forest,"With birds, river and taller trees",1
118,# 219. Riparian Forest,,3
119,# 220.  Bush burning 🔥,,3
120,# 221.  Grassland,Grass species donated to herders in the 1980s,3
121,# 222. Grassland,,3
122,# 223.  Abandoned Herder Community,Herders left due to security concerns posed by separatist fighters,3
123,# 224.  Thick Riparian Forest,,1
124,# 225.  Bush burning,,1
125,# 226. Bush burning,,3
126,# 227. Grassland,,3
127,# 228.  Grassland,,3
128,# 229.  Shrub trees,,3
129,# 23 Bush burning,,4
130,# 230. Bush burning,,3
131,# 231.  Flowing Stream,,3
132,# 232.  Shrubland,,3
133,# 233. Bush burning,,3
134,# 234.  Riparian Forest,,3
135,# 235.  Bush burning,,3
136,# 236.  Riparian Forest,With a river and medicinal trees,3
137,# 237. Deforestation Activities,,3
138,# 238.  Riparian Forest,,2
139,# 239. Maiyoh River,,2
140,# 24 Ntenyet river,"Used for drinking, laundry, drinking by cattle. Used to wash and heal those with spiritual problems",3
141,# 240. Herder Community Settlement,,4
142,# 241.  Bush burning 🔥,,4
143,# 242.  Eucalyptus Plantation,,1
144,# 243.  River Maiyoh,,1
145,# 244. Shrub Trees,,2
146,# 245. Government Primary School,Koumbam Sanyere,5
147,# 246. Bush burning,Farmland,4
148,# 247. Shrubland,,3
149,# 248. Small river,Polluted,2
150,# 249.  Herder Settlement,,3
151,# 25 Farmland,"Used for cultivation of maize, bean, cassava, potatoes and okra",3
152,# 250.  Riparian Forest,,1
153,# 251. Flowing river,,3
154,# 252. Grazing land,,4
155,# 253. Grassland,,4
156,# 254. Riparian Forest,With flowing stream and birds,3
157,# 255. Shrubland,,3
158,# 256.  Bush fire,,3
159,# 257. Riparian Forest,,3
160,# 258. Grazing land,,3
161,# 259. Riparian Forest,Will little flowing stream,3
162,# 26 Glazier settlement,,4
163,# 260.  Grazing land,,3
164,# 261.  Bush burning,,3
165,# 262.  Shrubland,,3
166,# 263.  Bush burning,Rocky and stony,3
167,# 264. Riparian Forest,,3
168,# 265.  Riparian Forest,,3
169,# 266. Bush Burning,,3
170,# 267.  Bush burning,,4
171,# 268.  Herder Settlement,Mapetiehn,4
172,# 269. Riparian Forest,With river used for laundry and drinking,2
173,# 27 Tick forest,"Has many birds, plants, standing water  and perhaps animals",3
174,# 270. Shrubland,,2
175,# 271.  Shrubland,,5
176,"# 272. Settlement; Herder Community",,4
177,# 273.  Bush burning,,4
178,# 274. Grassland,,5
179,# 275.  Maki Village,,3
180,# 28 Riparian Forest & pond,Pond provides water for cows and laundry. Many bird nests. A great area for bird watching,3
181,# 29.  Herding community,Many herders camp here. Lots of house flies,4
182,# 30  Cattle Settlement,Locals come here to buy cow dripings to boost soil fertility,5
183,# 31. Deforestation for fuel wood,New trees cut down and allowed to dry for fuel wood,3
184,# 32 Riparian Forest and flowing stream,,3
185,# 33. Tanyien Waterfall,,1
186,# 34. Huge rock deposit,,2
187,# 35: Riparian Forest,Has streams used by herders for laundry and cows for drinking. Rockodeh Choupah Sanyere River,3
188,# 36 Bush burning for grazing,,3
189,# 37 Built up area,Herders settlement,3
190,# 38: choupah Sanyere Community,,3
191,# 40 Bume Tree,Medicinal Tree used to treat cows when sick. Also used as food by herders,3
192,# 41 Mahogany,Used as a medicinal tree for yellow fever and skin diseases,3
193,# 42 Bush burning,,6
194,# 43 Mahogany,Harvested for medicinal purposes,3
195,# 44 Farmland,Bush burning for farming,4
196,# 45 Herders Settlement,Herders live here with their cows,4
197,# 46 Settlement,Herder Community,4
198,# 48 Choupah Sanyere 2,Second community of herders. Need Agroforestry trees for cattles. Bush burning very common,4
199,# 50 Farmland,,4
200,# 51 River Shupeign,"A wetland area used for laundry, fishing, drinking and irrigation",4
201,# 52. Agricultural lands,Vast farmlands. Good for aground and Regenerative Agriculture Practices,4
202,# 53 Burnt Agricultural Lands,,4
203,# 54. Ngbessun River,It has fishes but also used for drinking by both humans and cattles and for irrigation,4
204,# 55 Thick Forest,"It's within the wetland with many birds, trees, understories, bamboos etc.",1
205,# 56 Wetland,Vegetable gardening practiced,4
206,# 58 Rice farming,,1
207,# 59 Burnt Agriculture lands,,4
208,# 60 conflict zone,Farmers and herders clash over landuse,4
209,# 61 Boundary Line,This is the boundary between Herder Community and Menkiefou Community,4
210,# 62 Njienteuh Sanyere Community,Herders Settlement,4
211,# 63 Agricultural lands,,4
212,# 64 Wildlife,A small running on palm trees,4
213,# 65 Ndiaah River,"Dried off, polluted and depleted but still used for laundry and cattle",4
214,# 66Dried off stream,A gully with bridges but no water cos of climate change and seasonal variation,4
215,# 67. Herder Settlement,,4
216,# 68. Mayoh River,For drinking buy herders and cows 🐄,2
217,# 69.  Rocky and stony area,,5
218,# 70. Riparian Forest,Really dry. Maybe climate change or because it's dry season,3
219,# 71 Bare land,"No trees, grass etc. Told it's passage for cows",6
220,# 72. Grass land,Used for grazing in the wet season,3
221,# 73. Riparian Forest,"Thick, with bigger and taller trees. Has water.  Ngorde de Liande river",2
222,# 74. Forested area,Tall trees but deforestation is noticed,1
223,# 75.  Huge Rock Deposit,,1
224,# 76. Highly Degraded Area,,3
225,# 77.  Bareland,,3
226,# 78. Bare land,Degraded with short trees nearby,6
227,# 79. Bare land,Degraded area,6
228,# 80. Bees at Honey Site,,5
229,# 81. Bare land,Degraded area,3
230,# 82. Riparian Forest,Stream dried off,3
231,# 83. Bush fire,,3
232,# 84. Flowing Stream,"Used for laundry, drinking. Polluted!",3
233,# 85. Kipaoh Stream,A riparian Forest with flowing stream used for domestic purposes,3
234,# 86.  Sanyere Mbororo,Settlement for Herders,5
235,# 87.  Bobiloyi,Medicinal plant for treatment of fever,5
236,# 88. Riparian Forest,Stream has dried off,4
237,# 89 Medicinal Plant,Called piend and used for stomach problems,5
238,# 90.  Herders Settlement,,5
239,# 91.  Degraded Area,"Lesser trees, more grassland",6
240,# 92. Bareland,,6
241,# 93. Grazing area,Burnt for grazing,3
242,# 94.  Herder's House,,4
243,# 95.  Bareland,,3
244,# 96. Limited grazing area,Considered Risky for the Cows 🐄,3
245,# 97 Bush burning,,3
246,# 98. Degraded Area,Sparsed trees,3
247,# 99. Bareland,A grazing area,3
248,Bare land,At the foot of the mountain with no pasture or tree,5
249,Bare land,,5
250,Bare rock,Huge deposit,3
251,Bare rocks beside an indigenous tree,,3
252,Bareland,No vegetation nor trees,5
253,Built up area,At the piedmont of Mount Mbam,5
254,Bush burning,Bush burned to generate pasture for cattle,3
255,Bush burning,This is done by herders to generate fresh gass for cows,3
256,Bush fire,,3
257,Community Water Tank & Catchment,Stores water which is distributed for community use,4
258,Deforestation for fuel wood,Bush fire and deforestation,1
259,Huge rock,No suitable area for restoration,3
260,Huge rock desposite,,3
261,Medicinal Tree,This tree is used to treat soar throat,3
262,Pien (Orchid) Tree,A medicinal plant to treat cows of stomach issues,5
263,Pond,It's a bid dry because of the dry season,4
264,Riparian Forest,The stream here has dried off given that it is dry season,3
265,Riparian Forest & River,"River is used for domestic purposes including molding of blocks, bathing, laundry etc",5
266,Riparian Forest with tall trees,,3
267,Thick Riparian Forest,Has many tree species and birds,4
268,Verand Stream/water fall,"It has rocks and trees, will low volume due given that it's dry season and also because of deforestation",3
